attendance,day_night,temp,wind_speed,duration,away_errors,away_hits,home_errors,home_hits,total_runs,home_win
40122,0,81,18,3.367,1,9,0,6,7,1
40122,0,81,17,2.933,0,7,1,6,3,1
40113,0,88,5,2.95,0,11,2,9,11,0
40104,1,85,15,3.417,1,9,1,10,17,1
40093,1,85,5,2.917,0,7,1,13,9,1
40087,0,63,5,2.517,0,5,0,3,1,0
40082,0,75,9,3.2,0,12,0,9,11,0
40075,1,81,7,2.733,2,3,0,10,3,1
40053,0,90,8,2.917,0,4,1,19,9,1
40035,0,82,8,3.117,0,13,0,6,7,0
40030,0,74,14,3.217,1,7,0,9,7,1
40023,0,91,6,3.467,1,15,2,11,16,0
40019,0,92,8,2.7,0,6,0,9,5,1
40011,0,75,8,2.8,1,6,1,7,4,1
40008,0,92,8,2.833,1,7,0,12,11,1
39995,0,67,9,3.783,2,17,0,11,18,0
39985,1,73,1,3.2,0,10,0,9,11,1
39971,0,74,10,2.267,0,4,0,8,6,1
39934,1,81,2,3.2,0,4,0,5,3,1
39900,0,78,14,3.067,1,14,0,7,11,0
39875,0,81,7,3.317,1,9,2,10,16,1
39782,1,68,17,2.85,0,6,0,3,2,0
39764,0,52,11,3.283,0,9,1,12,14,1
39757,0,77,11,3.233,0,9,0,9,7,1
39722,0,87,8,2.717,0,3,0,10,4,1
39720,1,85,6,2.917,0,8,3,5,5,1
39691,0,92,6,2.867,0,12,0,6,13,0
39691,1,70,11,2.4,0,5,0,5,3,1
39688,1,63,12,3.15,0,7,0,9,9,1
39620,0,79,6,2.333,1,6,0,2,1,1
